Url,TopicKey,Visits,UniqueVisitors,BounceRate,MedianActivePvl,OrganicSearch,Views,CSAT,CSATCount
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-tutorial-batch-testing%20,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,6,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-intent6,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-quickstart-node-add-intents,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-quickstart-node-add-intent,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,2,0,2
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-how-to-collaborating,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,5,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/add-example-utterance,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-supported-languages),e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,50,1,0,2,0,2
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/translator-text-how-to-signup,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/reference/v3-0-translate,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,6,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/media/index/logo_luis.png,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/pre-bu iltentities,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,41,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-language-support%20-%20chinese-support-notes,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,2117,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-quickstart-primary-and-secondary-data%20let's%20discuss%20this%20one,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,50,1,0,2,0,2
